Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,gender_labels_using_sentence,sentiment_labels_using_sentence,emotion_labels_using_sentence,age_labels_using_sentence,stance_labels_using_sentence,random_sentence,gender_labels_using_random_sentence,sentiment_labels_using_random_sentence,emotion_labels_using_random_sentence,age_labels_using_random_sentence,stance_labels_using_random_sentence,real_emojis,random_emojis
2238,3210,ad2084c340481481a64e34118fdf41ed,❤️ u and thank you,18,4, u and thank you,female,positive,happiness,child,none,True,female,positive,happiness,child,none, u and thank you ❄️💏🔴,female,positive,happiness,teen,none,❤,❄💏🔴
2239,3217,3d9fe22c9ada9f829858a4cb520a3973,"THERE IS A BUTTERFLY EMOJI I REPAT, THERE IS A BUTTERFLY EMOJI. 🦋🦋🦋🦋🦋🦋🦋🦋🦋",73,8,"THERE IS A BUTTERFLY EMOJI I REPAT, THERE IS A BUTTERFLY EMOJI. ",female,positive,happiness,child,none,False,female,positive,happiness,teen,none,"THERE IS A BUTTERFLY EMOJI I REPAT, THERE IS A BUTTERFLY EMOJI.  🍂👊💚",female,positive,happiness,teen,none,🦋🦋🦋🦋🦋🦋🦋🦋🦋,🍂👊💚
2240,3222,3d9fe22c9ada9f829858a4cb520a3973,Happy Christmas ! 💖🎄,20,3,Happy Christmas ! ,female,positive,happiness,child,none,True,female,positive,happiness,adult,none,Happy Christmas !  😢👆✉️,female,neutral,sadness,child,none,💖🎄,😢👆✉
2241,3238,3d9fe22c9ada9f829858a4cb520a3973,"HAPPY BDAY SALMA! IMY sooo much :) - ur lil sis
(ps our pics together are 😁)",76,8,"HAPPY BDAY SALMA! IMY sooo much :) - ur lil sis
(ps our pics together are )",female,positive,happiness,child,none,False,female,positive,happiness,child,none,"HAPPY BDAY SALMA! IMY sooo much :) - ur lil sis
(ps our pics together are ) 💢🙄🎀",female,positive,happiness,child,none,😁,💢🙄🎀
2242,3242,3d9fe22c9ada9f829858a4cb520a3973,look at this 🌙🙏🏻💖🌵,18,8,look at this ,female,positive,happiness,child,none,False,male,neutral,surprise,child,none,look at this  🙆😟🦀,female,neutral,sadness,child,none,🌙🙏🏻💖🌵,🙆😟🦀
2243,3249,b197423a773670a6fade17376c85644c,merry Xmas to you too Patrick! 🎄🎄,33,8,merry Xmas to you too Patrick! ,female,positive,happiness,child,none,False,female,positive,happiness,adult,none,merry Xmas to you too Patrick!  🤡🐇🤠,female,positive,happiness,teen,none,🎄🎄,🤡🐇🤠
2244,3276,8f88689799a4fbb05e35372b6eb952bc,Happy birthday Alexander 🎉🎊,27,3,Happy birthday Alexander ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Happy birthday Alexander  ✨💌🧡,female,positive,happiness,teen,none,🎉🎊,✨💌🧡
2245,3278,8f88689799a4fbb05e35372b6eb952bc,"Cousins who play together stay together 
Merry Christmas 🎄",58,8,"Cousins who play together stay together 
Merry Christmas ",female,positive,happiness,child,none,False,female,positive,happiness,child,none,"Cousins who play together stay together 
Merry Christmas  🎹🎥‼️",female,positive,happiness,child,none,🎄,🎹🎥
2246,3310,29e78188b0f0d4a69d64d662ff536b3e,"Cuddly boy 💙
#mrdoncarolis #babyboy #21weeksold #baby #cuddles",62,8,"Cuddly boy 
#mrdoncarolis #babyboy #21weeksold #baby #cuddles",female,positive,happiness,child,none,True,female,positive,happiness,child,none,"Cuddly boy 
#mrdoncarolis #babyboy #21weeksold #baby #cuddles 👽🤥🔵",female,positive,happiness,child,none,💙,👽🤥🔵
2247,3313,29e78188b0f0d4a69d64d662ff536b3e,"Little cutie 💙
#mrdoncarolis #babyboy #20weeksold",49,8,"Little cutie 
#mrdoncarolis #babyboy #20weeksold",female,positive,happiness,child,none,False,female,positive,happiness,child,none,"Little cutie 
#mrdoncarolis #babyboy #20weeksold 🚶🎬👩",female,positive,happiness,child,none,💙,🚶🎬👩
2248,3319,29e78188b0f0d4a69d64d662ff536b3e,Someone's excited only 3 more sleeps til Christmas! 🎄 #mrdoncarolis #firstchristmas #tinyb…,91,8,Someone's excited only 3 more sleeps til Christmas!  #mrdoncarolis #firstchristmas #tinyb…,female,positive,happiness,child,favor,False,female,positive,happiness,child,favor,Someone's excited only 3 more sleeps til Christmas!  #mrdoncarolis #firstchristmas #tinyb… 🌶️🍯🎶,female,positive,happiness,child,favor,🎄,🌶🍯🎶
2249,3321,29e78188b0f0d4a69d64d662ff536b3e,Christmas superhero 🎄 #mrdoncarolis #babyboy #christmas #superhero #15weeksold #mybaby #lo…,91,8,Christmas superhero  #mrdoncarolis #babyboy #christmas #superhero #15weeksold #mybaby #lo…,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Christmas superhero  #mrdoncarolis #babyboy #christmas #superhero #15weeksold #mybaby #lo… 🔥🕳️😝,female,positive,happiness,child,none,🎄,🔥🕳😝
2250,3323,29e78188b0f0d4a69d64d662ff536b3e,First snow day ❄️☃️ #mrdoncarolis #3monthsold #allbundledup #firstsnow #tinybeanskids,85,8,First snow day  #mrdoncarolis #3monthsold #allbundledup #firstsnow #tinybeanskids,female,positive,happiness,child,none,True,female,positive,happiness,child,none,First snow day  #mrdoncarolis #3monthsold #allbundledup #firstsnow #tinybeanskids 🍡😗😵,female,positive,happiness,child,none,❄☃,🍡😗😵
2251,3327,29e78188b0f0d4a69d64d662ff536b3e,So cute 😍 #mrdoncarolis #babyboy #loveshissophie #cute #3monthsold #cutie #baby #tinybeans…,91,8,So cute  #mrdoncarolis #babyboy #loveshissophie #cute #3monthsold #cutie #baby #tinybeans…,female,positive,happiness,child,none,False,female,positive,happiness,child,none,So cute  #mrdoncarolis #babyboy #loveshissophie #cute #3monthsold #cutie #baby #tinybeans… 💻✋🥤,female,positive,happiness,child,none,😍,💻✋🥤
2252,3330,29e78188b0f0d4a69d64d662ff536b3e,😊❤️ #mrdoncarolis #cutie #babyboy #smile #smiley #baby #12weeksold #tinybeanskids,81,8, #mrdoncarolis #cutie #babyboy #smile #smiley #baby #12weeksold #tinybeanskids,female,positive,happiness,child,none,False,female,positive,happiness,child,none, #mrdoncarolis #cutie #babyboy #smile #smiley #baby #12weeksold #tinybeanskids 🍞🎇👐,female,positive,happiness,child,none,😊❤,🍞🎇👐
2253,3332,29e78188b0f0d4a69d64d662ff536b3e,Shopping with mom 💙 #mrdoncarolis #babyboy #tinybeanskids,57,8,Shopping with mom  #mrdoncarolis #babyboy #tinybeanskids,female,positive,happiness,child,none,False,male,neutral,happiness,child,none,Shopping with mom  #mrdoncarolis #babyboy #tinybeanskids ⚠️😮💰,female,positive,happiness,child,none,💙,⚠😮💰
2254,3334,29e78188b0f0d4a69d64d662ff536b3e,Sound asleep in his highchair 😂 #mrdoncarolis #babyboy #cute #tinybeanskids,75,8,Sound asleep in his highchair  #mrdoncarolis #babyboy #cute #tinybeanskids,female,positive,happiness,child,none,True,female,positive,happiness,child,none,Sound asleep in his highchair  #mrdoncarolis #babyboy #cute #tinybeanskids 🖕🔹🥚,female,neutral,happiness,child,none,😂,🖕🔹🥚
2255,3338,29e78188b0f0d4a69d64d662ff536b3e,"Happy boy 😊💙
#mrdoncarolis #babyboy #cute #cutie",48,8,"Happy boy 
#mrdoncarolis #babyboy #cute #cutie",male,positive,happiness,child,none,False,male,positive,happiness,child,none,"Happy boy 
#mrdoncarolis #babyboy #cute #cutie 🚴🐔🦅",male,positive,happiness,child,none,😊💙,🚴🐔🦅
2256,3340,29e78188b0f0d4a69d64d662ff536b3e,They gave their tomorrows so we could have our todays ❤️🇨🇦 #grateful #lestweforget #rememb…,91,8,They gave their tomorrows so we could have our todays  #grateful #lestweforget #rememb…,female,positive,happiness,senior,favor,False,female,positive,happiness,adult,favor,They gave their tomorrows so we could have our todays  #grateful #lestweforget #rememb… 😧😹🌃,female,neutral,sadness,teen,none,❤🇨🇦,😧😹🌃
2257,3344,29e78188b0f0d4a69d64d662ff536b3e,Playtime fun 😊 #babyboy #growingtoofast #mrdoncarolis #8weeksold #baby #loveshissophie,86,8,Playtime fun  #babyboy #growingtoofast #mrdoncarolis #8weeksold #baby #loveshissophie,female,positive,happiness,child,none,True,female,positive,happiness,child,none,Playtime fun  #babyboy #growingtoofast #mrdoncarolis #8weeksold #baby #loveshissophie 🇨🇦🍿🍔,female,positive,happiness,child,none,😊,🇨🇦🍿🍔
2258,3349,29e78188b0f0d4a69d64d662ff536b3e,I can't get enough of this little face 💙💙💙 #mrdoncarolis #cutie #babyboy,72,8,I can't get enough of this little face  #mrdoncarolis #cutie #babyboy,female,positive,happiness,child,none,False,female,positive,happiness,adult,none,I can't get enough of this little face  #mrdoncarolis #cutie #babyboy 🎓🙉📈,female,positive,happiness,adult,none,💙💙💙,🎓🙉📈
2259,3356,29e78188b0f0d4a69d64d662ff536b3e,Halloween costume sorted 🐻 🎃 #baby #bear #halloween #halloweencostume #adorable #babyboy #…,91,8,Halloween costume sorted   #baby #bear #halloween #halloweencostume #adorable #babyboy #…,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Halloween costume sorted   #baby #bear #halloween #halloweencostume #adorable #babyboy #… ❓🇧🇷🗿,female,positive,happiness,child,none,🐻🎃,❓🇧🇷🗿
2260,3360,29e78188b0f0d4a69d64d662ff536b3e,3 weeks old today! 💙 #mrdoncarolis #babyboy #3weeksold,54,8,3 weeks old today!  #mrdoncarolis #babyboy #3weeksold,female,positive,happiness,child,none,False,male,positive,happiness,child,none,3 weeks old today!  #mrdoncarolis #babyboy #3weeksold 🐻🦊💢,female,positive,happiness,child,none,💙,🐻🦊💢
2261,3361,29e78188b0f0d4a69d64d662ff536b3e,"☀️🍂🍁 Happy first day of fall! 
#mrdoncarolis #babyboy #2weeksold #baby #littlereg #sklyerm…",91,8," Happy first day of fall! 
#mrdoncarolis #babyboy #2weeksold #baby #littlereg #sklyerm…",female,positive,happiness,child,none,False,female,positive,happiness,adult,none," Happy first day of fall! 
#mrdoncarolis #babyboy #2weeksold #baby #littlereg #sklyerm… 🥕🌎🥓",female,positive,happiness,child,none,☀🍂🍁,🥕🌎🥓
2262,3363,29e78188b0f0d4a69d64d662ff536b3e,"Getting some fresh air ☀️
#mrdoncarolis #babyboy #1weekold #littlereg #skylerman #schnauze…",91,8,"Getting some fresh air 
#mrdoncarolis #babyboy #1weekold #littlereg #skylerman #schnauze…",female,positive,happiness,child,none,False,female,positive,happiness,child,none,"Getting some fresh air 
#mrdoncarolis #babyboy #1weekold #littlereg #skylerman #schnauze… 🐟🦖☹️",female,neutral,sadness,child,none,☀,🐟🦖☹
2263,3386,b4dc134ecf99037a3fbcb06363f792d,"🌳 @ Lower Hutt City, New Zealand",32,8," @ Lower Hutt City, New Zealand",male,neutral,surprise,child,none,True,unknown,neutral,surprise,adult,none," @ Lower Hutt City, New Zealand 🍋😓✅",female,neutral,sadness,child,none,🌳,🍋😓✅
2264,3390,b4dc134ecf99037a3fbcb06363f792d,🐰🐰 #lifeofananny @ Staglands Wildlife Reserve &amp; Cafe,56,8, #lifeofananny @ Staglands Wildlife Reserve &amp; Cafe,female,neutral,happiness,child,none,False,female,neutral,surprise,adult,none, #lifeofananny @ Staglands Wildlife Reserve &amp; Cafe 🤲🌲🌊,female,neutral,happiness,teen,none,🐰🐰,🤲🌲🌊
2265,3391,b4dc134ecf99037a3fbcb06363f792d,🌷 @ Staglands Wildlife Reserve &amp; Cafe,41,8, @ Staglands Wildlife Reserve &amp; Cafe,female,neutral,happiness,child,none,False,unknown,neutral,neutral,adult,none, @ Staglands Wildlife Reserve &amp; Cafe 😎♨️💏,female,positive,happiness,teen,none,🌷,😎♨💏
2266,3396,5d271f21c449673c092b3db73fcd2530,What about Lion 🦁?,18,8,What about Lion ?,male,neutral,surprise,child,none,True,male,neutral,surprise,child,none,What about Lion ? 💥🐎⭐,male,neutral,surprise,child,none,🦁,💥🐎⭐
2267,3415,ffd6c6cfe9c484d3538fb9d9a628af74,merry Christmas my friend 🎁🎄🎅,29,8,merry Christmas my friend ,female,positive,happiness,child,none,False,female,positive,happiness,adult,none,merry Christmas my friend  🌲🙂🤨,female,positive,happiness,teen,none,🎁🎄🎅,🌲🙂🤨
2268,3423,aeac9788dc6e47488b305f669737060c,actually da 💣💣,14,8,actually da ,female,positive,surprise,child,none,False,male,neutral,surprise,child,none,actually da  📦😦😠,female,negative,anger,child,none,💣💣,📦😦😠
2269,3427,1ad84f9ffd9d37f87ce07d6c6edc6d8,You (four) too! ⛄️🎄,19,8,You (four) too! ,female,positive,happiness,child,none,False,female,neutral,surprise,child,none,You (four) too!  ❗🎸👩,female,positive,happiness,child,none,⛄🎄,❗🎸👩
2270,3445,6b3161bd0225e6fedad902576503b851,Excited to go and see  🙈🐛🐻🐙🐞,28,8,Excited to go and see  ,female,positive,happiness,child,none,False,female,positive,happiness,teen,none,Excited to go and see   🇧🇷🎉🌛,female,positive,happiness,teen,none,🙈🐛🐻🐙🐞,🇧🇷🎉🌛
2271,3450,6b3161bd0225e6fedad902576503b851,thank you! ❤️,13,4,thank you! ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,thank you!  ♨️🥔🎤,female,positive,happiness,child,none,❤,♨🥔🎤
2272,3484,c3c3cd5a817f69c1fc49b16b5317f3f9,Shopping and FUN for the kiddos at Chorus and Clouds Kids Studio🎈TINY POP UP SHOP 🎈 This weekend…,97,8,Shopping and FUN for the kiddos at Chorus and Clouds Kids StudioTINY POP UP SHOP  This weekend…,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Shopping and FUN for the kiddos at Chorus and Clouds Kids StudioTINY POP UP SHOP  This weekend… 💰🔮👻,female,positive,happiness,child,none,🎈🎈,💰🔮👻
2273,3504,c3c3cd5a817f69c1fc49b16b5317f3f9,"⚡️ Little Champs ⚡️ owning the mats in here on Tuesdays and Fridays...

#Bullyproof…",84,8," Little Champs  owning the mats in here on Tuesdays and Fridays...

#Bullyproof…",female,positive,happiness,child,none,False,female,positive,happiness,child,none," Little Champs  owning the mats in here on Tuesdays and Fridays...

#Bullyproof… 📌😛😩",female,neutral,sadness,child,none,⚡⚡,📌😛😩
2274,3532,d41817c9b80002f02a03b120a00ae3f4,"Happy New Year, Lily 💖🎉🎊",24,3,"Happy New Year, Lily ",female,positive,happiness,child,none,False,female,positive,happiness,child,none,"Happy New Year, Lily  🐈🌮🌺",female,positive,happiness,child,none,💖🎉🎊,🐈🌮🌺
2275,3599,fff5a17288a8ab173e493c90bf4b39a4,ME ATM! This bloody cold won't go away! It's already the 2nd time I've had it this year!  😭,91,8,ME ATM! This bloody cold won't go away! It's already the 2nd time I've had it this year!  ,female,negative,sadness,senior,none,False,female,negative,sadness,adult,none,ME ATM! This bloody cold won't go away! It's already the 2nd time I've had it this year!   👄😪🎄,female,negative,sadness,teen,none,😭,👄😪🎄
2276,3617,92b6ccb70210fb0801d4fbbc281d6491,oh dear 😂,9,8,oh dear ,female,neutral,happiness,child,none,False,female,negative,sadness,child,none,oh dear  💝😃🍪,female,positive,happiness,child,none,😂,💝😃🍪
2277,3678,5f04acb377c3a1c708e60a0c6312b95e,"I thank our dear Lord for having you as our President, you are the people's President sir 🇺🇸🙋🏻",94,8,"I thank our dear Lord for having you as our President, you are the people's President sir ",male,positive,happiness,senior,favor,False,male,positive,happiness,adult,favor,"I thank our dear Lord for having you as our President, you are the people's President sir  😁😟🍡",male,positive,mixed emotions,adult,favor,🇺🇸🙋🏻,😁😟🍡
2278,3688,5f04acb377c3a1c708e60a0c6312b95e,My husband and I send you and Mr Trump prayers &amp; well-wishes as you prepare for the inauguration 🇺🇸 thank you both 🙋🏻👴🏻,123,8,My husband and I send you and Mr Trump prayers &amp; well-wishes as you prepare for the inauguration  thank you both ,female,positive,happiness,senior,favor,False,female,positive,happiness,adult,favor,My husband and I send you and Mr Trump prayers &amp; well-wishes as you prepare for the inauguration  thank you both  🐴🌌😒,female,neutral,sadness,adult,none,🇺🇸🙋🏻👴🏻,🐴🌌😒
2279,3695,5f04acb377c3a1c708e60a0c6312b95e,"Good morning and God Bless You, you are the real deal, a voice for the less fortunate in our inner cities &amp; for all people 💕",128,8,"Good morning and God Bless You, you are the real deal, a voice for the less fortunate in our inner cities &amp; for all people ",female,positive,happiness,senior,favor,False,female,positive,happiness,adult,favor,"Good morning and God Bless You, you are the real deal, a voice for the less fortunate in our inner cities &amp; for all people  🤤🕺👄",female,positive,happiness,adult,favor,💕,🤤🕺👄
2280,3754,faadfff4314112711a9f0e1bd315d995,there isn't enough characters 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,48,8,there isn't enough characters ,male,positive,happiness,child,none,False,male,neutral,sadness,teen,none,there isn't enough characters  🧀🤡😚,female,neutral,sadness,teen,none,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,🧀🤡😚
2281,3781,4ce3cf070ba70902302a0c9ef0bbfbd2,I was thinking that 🍀,21,8,I was thinking that ,female,neutral,happiness,child,none,False,female,neutral,neutral,child,none,I was thinking that  🥒🙆🍨,female,neutral,surprise,child,none,🍀,🥒🙆🍨
2282,3798,4ce3cf070ba70902302a0c9ef0bbfbd2,thank you💚,10,4,thank you,female,positive,happiness,child,none,True,unknown,positive,happiness,child,none,thank you 😷🤞💅,female,neutral,sadness,teen,none,💚,😷🤞💅
2283,3800,4ce3cf070ba70902302a0c9ef0bbfbd2,thanks so much 💚,16,8,thanks so much ,female,positive,happiness,child,none,True,female,positive,happiness,teen,none,thanks so much  📺🇮🇳💭,female,positive,happiness,teen,none,💚,📺🇮🇳💭
2284,3802,4ce3cf070ba70902302a0c9ef0bbfbd2,Thanks so much 💖,16,8,Thanks so much ,female,positive,happiness,child,none,False,female,positive,happiness,adult,none,Thanks so much  😕🍑⏰,female,neutral,sadness,teen,none,💖,😕🍑
2285,3803,61d02d150a3eb16c7af782c8bed86b8a,Snuggles with Lily 󾍌🐈󾆸,22,8,Snuggles with Lily ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Snuggles with Lily  🤣🚿💕,female,positive,happiness,child,none,🐈,🤣🚿💕
2286,3804,61d02d150a3eb16c7af782c8bed86b8a,Someone upstairs read my mind! 😇,32,8,Someone upstairs read my mind! ,female,positive,happiness,child,none,False,female,positive,surprise,child,none,Someone upstairs read my mind!  ⚽🤚🐍,female,positive,surprise,child,none,😇,⚽🤚🐍
2287,3816,da43ec1cb74a279b004641675357a8c3,Well done Lily and Jett! 💪,26,8,Well done Lily and Jett! ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Well done Lily and Jett!  🌎🙆🕺,female,positive,happiness,child,none,💪,🌎🙆🕺
2288,3825,da43ec1cb74a279b004641675357a8c3,Good grief! Was it really that long ago!!?? I suddenly feel rather old. Oh. Wait. I AM old 😄,92,8,Good grief! Was it really that long ago!!?? I suddenly feel rather old. Oh. Wait. I AM old ,female,positive,happiness,senior,none,False,female,neutral,sadness,senior,none,Good grief! Was it really that long ago!!?? I suddenly feel rather old. Oh. Wait. I AM old  💜🥺😇,female,neutral,sadness,senior,none,😄,💜🥺😇
2289,3836,da43ec1cb74a279b004641675357a8c3,Happy birthday Dene! 🎂,22,3,Happy birthday Dene! ,female,positive,happiness,child,none,True,female,positive,happiness,child,none,Happy birthday Dene!  🍗✅🍎,female,positive,happiness,child,none,🎂,🍗✅🍎
2290,3844,60f7c7ece9afaec250c6ec9d456f6afc,Thank you! 😊,12,4,Thank you! ,female,positive,happiness,child,none,True,female,positive,happiness,child,none,Thank you!  🍩🎉🥰,female,positive,happiness,child,none,😊,🍩🎉🥰
2291,3855,60f7c7ece9afaec250c6ec9d456f6afc,Thank you ! How did you know?! Perfect presents! Happy Xmas 🎄 😀,63,4,Thank you ! How did you know?! Perfect presents! Happy Xmas  ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Thank you ! How did you know?! Perfect presents! Happy Xmas   👮💍😰,female,positive,happiness,teen,none,🎄😀,👮💍😰
2292,3890,6d52c7fed5f5bbb9edc5c6e9e81ee75d,Why he only have 4 fingers 😳,28,8,Why he only have 4 fingers ,female,neutral,surprise,child,none,False,male,neutral,surprise,child,none,Why he only have 4 fingers  🐣🍷💝,female,neutral,surprise,child,none,😳,🐣🍷💝
2293,3895,43be0e6b7714ef182551780b77d404b1,My prized police cap collection !!!!🙀,37,8,My prized police cap collection !!!!,female,positive,happiness,child,none,False,male,positive,happiness,child,none,My prized police cap collection !!!! ❄️😁🥞,female,positive,happiness,child,none,🙀,❄😁🥞
2294,3910,4a0c478e8f70e054ee270bb7e9b31821,Love the rain! Keep raining please 👍,36,8,Love the rain! Keep raining please ,female,positive,happiness,child,favor,True,female,positive,happiness,child,favor,Love the rain! Keep raining please  🌄💟⚡,female,positive,happiness,teen,favor,👍,🌄💟⚡
2295,3914,fb880ca9f8d099df188c4230234f7d60,Ever wondered what clouds feel like? ☁️🖐🏽 @ Great Sugar Loaf,60,8,Ever wondered what clouds feel like?  @ Great Sugar Loaf,female,neutral,surprise,child,none,False,female,neutral,surprise,child,none,Ever wondered what clouds feel like?  @ Great Sugar Loaf ☎️🧡🌟,female,positive,happiness,teen,none,☁🖐🏽,☎🧡🌟
2296,3944,dd0ef138312924a37668cd0a0b2674a5,Peace and love 👌👌👌,18,8,Peace and love ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Peace and love  🐷🇨🇦🍯,female,positive,happiness,child,none,👌👌👌,🐷🇨🇦🍯
2297,3983,22f527af5bdb880197e3403b375ecbca,. closing down breaks my heart. The last great store for physical media in Canada. I can't imagine a future without it. 😞,121,8,. closing down breaks my heart. The last great store for physical media in Canada. I can't imagine a future without it. ,female,negative,sadness,senior,against,False,female,negative,sadness,adult,against,. closing down breaks my heart. The last great store for physical media in Canada. I can't imagine a future without it.  🚀😁✔️,female,negative,sadness,adult,none,😞,🚀😁✔
2298,4019,324fe8400a493a344d6f51d3a5d0c930,The Orangutans opening their Christmas presents at  🙊😍🎁 #animals #Christmas,75,8,The Orangutans opening their Christmas presents at   #animals #Christmas,female,positive,happiness,child,none,False,female,positive,happiness,child,none,The Orangutans opening their Christmas presents at   #animals #Christmas 🤸🤯👼,female,positive,happiness,child,none,🙊😍🎁,🤸🤯👼
2299,4025,324fe8400a493a344d6f51d3a5d0c930,I hope you got a few more coins in that bucket! 💰💰💰,51,8,I hope you got a few more coins in that bucket! ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,I hope you got a few more coins in that bucket!  🍑🌺😉,female,positive,happiness,teen,none,💰💰💰,🍑🌺😉
2300,4049,56d03a784d292065ca01fbd6af377a02,see if they need entertainment 😊,32,8,see if they need entertainment ,female,positive,happiness,child,none,True,female,neutral,surprise,teen,none,see if they need entertainment  🥶🍩❗,female,neutral,surprise,teen,none,😊,🥶🍩❗
2301,4063,48bfa9611f6df8de65ade2a063fcf1c2,you should check out  and  😊,28,8,you should check out  and  ,female,positive,happiness,child,none,False,female,neutral,neutral,teen,none,you should check out  and   😼🍃💧,female,positive,happiness,teen,none,😊,😼🍃💧
2302,4076,48bfa9611f6df8de65ade2a063fcf1c2,oath 👊👊,7,8,oath ,male,positive,happiness,child,none,False,male,neutral,surprise,child,none,oath  💪👃😹,female,positive,happiness,child,none,👊👊,💪👃😹
2303,4087,acb1d40c5c28152104c390ed2887fd91,Old Man Pumpkin 🎃 #oldage #trump #in20years #leftoutintthesun,61,8,Old Man Pumpkin  #oldage #trump #in20years #leftoutintthesun,male,neutral,sadness,senior,none,True,male,neutral,sadness,adult,none,Old Man Pumpkin  #oldage #trump #in20years #leftoutintthesun 🌝🌧️🐾,male,neutral,sadness,senior,none,🎃,🌝🌧🐾
2304,4093,1a76f8fcd4e5d409089b1b2601d5e38f,Poets &amp; Singers of past must've lived through our thoughts.Where have all the flowers gone! Time to get back to the garden💐,127,8,Poets &amp; Singers of past must've lived through our thoughts.Where have all the flowers gone! Time to get back to the garden,female,positive,sadness,senior,none,False,female,neutral,sadness,adult,none,Poets &amp; Singers of past must've lived through our thoughts.Where have all the flowers gone! Time to get back to the garden ☺️🤞🗑️,female,neutral,happiness,adult,none,💐,☺🤞🗑
2305,4099,1a76f8fcd4e5d409089b1b2601d5e38f,Thank you for the smiles 😊,26,4,Thank you for the smiles ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Thank you for the smiles  😐🕊️🙈,female,neutral,happiness,teen,none,😊,😐🕊🙈
2306,4107,1a76f8fcd4e5d409089b1b2601d5e38f,Happy Birthday 🎈🎼📻🎙🎉,20,3,Happy Birthday ,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Happy Birthday  🐢🍎🙌,female,positive,happiness,child,none,🎈🎼📻🎙🎉,🐢🍎🙌
2307,4121,1a76f8fcd4e5d409089b1b2601d5e38f,thank you from Mars🚀😘,21,4,thank you from Mars,female,positive,happiness,child,none,False,female,neutral,surprise,child,none,thank you from Mars 🧀📈😵,female,neutral,surprise,teen,none,🚀😘,🧀📈😵
2308,4136,1a76f8fcd4e5d409089b1b2601d5e38f,Thank you Sue...Hello Ann 🎶☀️😍✌️❤️,34,4,Thank you Sue...Hello Ann ,female,positive,happiness,child,none,False,female,neutral,happiness,adult,none,Thank you Sue...Hello Ann  🐣💲👎,female,negative,disgust,child,none,🎶☀😍✌❤,🐣💲👎
2309,4172,deb5a7fddebaa8afc1d92ed7deb895c7,Resigned to the fact I’m going to have a cold for the next 2 years at least 👧🏼👈 #GermKid,88,8,Resigned to the fact I’m going to have a cold for the next 2 years at least  #GermKid,female,negative,sadness,child,none,False,female,negative,sadness,adult,none,Resigned to the fact I’m going to have a cold for the next 2 years at least  #GermKid 💢😺😫,female,negative,sadness,teen,none,👧🏼👈,💢😺😫
2310,4180,deb5a7fddebaa8afc1d92ed7deb895c7,congratulations!! So exciting!! 😎🎉🎊🎈💫💥🎁🎋🎉✨🎇🎆🏠,45,8,congratulations!! So exciting!! ,female,positive,happiness,child,none,False,female,positive,happiness,teen,none,congratulations!! So exciting!!  ♨️👉😔,female,neutral,sadness,teen,none,😎🎉🎊🎈💫💥🎁🎋🎉✨🎇🎆🏠,♨👉😔
2311,4262,ff846d487c950693c6b752003a3b7359,dry me hair* 😂😂😂,16,8,dry me hair* ,female,positive,happiness,child,none,False,female,neutral,surprise,child,none,dry me hair*  🐱👆🍯,female,neutral,happiness,child,none,😂😂😂,🐱👆🍯
2312,4281,c681ac9dd6bc5e06070a5dc32d85e4a8,To all of you 😄😄❤❤❤,19,8,To all of you ,female,positive,happiness,child,none,False,male,neutral,neutral,child,none,To all of you  🤧🍞🎈,female,neutral,sadness,child,none,😄😄❤❤❤,🤧🍞🎈
2313,4287,c681ac9dd6bc5e06070a5dc32d85e4a8,"My not so little one turned 4 today !!!!
Happy Birthday James ❤❤😄😄",66,3,"My not so little one turned 4 today !!!!
Happy Birthday James ",female,positive,happiness,child,none,False,male,positive,happiness,parent,none,"My not so little one turned 4 today !!!!
Happy Birthday James  ⛳🌄📌",female,positive,happiness,child,none,❤❤😄😄,⛳🌄📌
2314,4289,c681ac9dd6bc5e06070a5dc32d85e4a8,Best find of the day ❤❤😄😄 #legobatman #fairybatman,50,8,Best find of the day  #legobatman #fairybatman,female,positive,happiness,child,none,False,female,positive,happiness,child,none,Best find of the day  #legobatman #fairybatman 👊🤯➡️,female,positive,happiness,child,none,❤❤😄😄,👊🤯➡
2315,4291,c681ac9dd6bc5e06070a5dc32d85e4a8,Kid knows how to mug 😜😜,23,8,Kid knows how to mug ,male,positive,happiness,child,none,True,male,neutral,surprise,child,none,Kid knows how to mug  🙏❤️🧁,female,positive,happiness,child,favor,😜😜,🙏❤🧁
